"id","title","size","path","type","fk_folder_id"
"43","Zaslonska slika 2024-02-03 18-33-16.png","259885","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","image/png","26"
"44","Zaslonska slika 2024-02-03 18-34-53.png","340766","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","image/png","26"
"45","Zaslonska slika 2024-02-03 18-35-04.png","295572","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","image/png","26"
"46","FLIS_F 3420 175_2450001.pdf","717289","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","application/pdf","26"
"47","FLIS_F T3 (0101)24 525 _ 212 (PE 550 kon.Å¡ir.205 cm).pdf","162288","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","application/pdf","26"
"48","FLIS_F T3 (0103)24 475 _ 222 (PE 501 HGT OH 4542).pdf","150051","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","application/pdf","26"
"49","FLIS_F T3 (0404)24 380 _ 222 (PE 400_0 HGT ).pdf","137863","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","application/pdf","26"
"50","FLIS_F T3 (0504)24 380 _ 222 (PE 400 HGT MICRO).pdf","150197","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","application/pdf","26"
"51","FLIS_F T3 (0504)24 475 _ 222 (PE 500 MICRO).pdf","150308","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","application/pdf","26"
"52","FLIS_F T3 (0504)24 525 _ 222 (PE 550 MICRO).pdf","149739","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","application/pdf","26"
"53","FLIS_F T3 (0504)24 575 _ 222 (PE 600 HGT MICRO).pdf","150017","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","application/pdf","26"
"54","FLIS_F T3 (0904)24 525 _ 222 (PE 550 FF).pdf","150012","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","application/pdf","26"
"55","FLIS_F T3 (0904)24 575 _ 222 (PE 600 FF).pdf","150279","/home/hypetix/Namizje/vpro_node/src/assets/filemanager/Tehnologija D - Linija","application/pdf","26"
