ID_ART,NAZIV,TIP_ART,POREKLO,EAN,DOBAVITELJ,PROIZVAJAL,KLASIFIKAC,SKUPINA_4,SKUPINA_3,SKUPINA_2,SKUPINA_1,SLED,ZALOGE,INTRASTAT
0009954,OBEŠANKA CILINDR. BANEX,DRI,,,,,207060000,,0,,1,N,,
0021644,GLAVA VTRALNA 0 -10 MM SAFID ABW,DRI,,,,,207060000,,0,,1,N,,
0053600,POLNILEC UB,DRI,,,,,207060000,,0,,1,N,,
0082848,TEHTNICA ELEGANT,DRI,,,,,207040000,,0,,1,N,,
0082856,TEHTNICA EXPRES 0DO10KG,DRI,,,,,207040000,,0,,1,N,,
0082988,KOZA PREVOZNA 800X110 LES,DRI,,,,,207060000,,0,,1,N,,
0083151,NOSILA SANITETNA NAVADNA,DRI,,,,,1,,0,,1,N,,
0083194,MIKROMETER ZA USNJE,DRI,,,,,1,,0,,1,N,,
0094099,SESALEC ZA PRAH ISKRA 6008,DRI,,,,,1,,0,,1,N,,
0094110,TLAÈILKA ZRAÈNA,DRI,,,,,1,,0,,1,N,,
0099260,GOVORILNICA TELEF 600,DRI,,,,,1,,0,,1,N,,
0101958,TRANSFORM PRENOSNI 24,DRI,,,,,1,,0,,1,N,,
0102644,KOLESA ZA TRANSP.VOZIÈKE,DRI,,,,,207060000,,208,,1,N,,
0103098,ÈRPALKA OLJNA PÈ 100,DRI,,,,,1,,0,,1,N,,
0125288,ŽAGA ZA KOVINO,DRI,,,,,1,,0,,1,N,,
0127965,OHMMETER 0-100.000K.OHM HB ELIMA,DRI,,,,,1,,0,,1,N,,
0130850,VOZIÈEK PODAJALNI,DRI,,,,,1,,0,,1,N,,
0137332,ELEKTROMOTOR VENTILA E 02,DRI,,,,,1,,0,,1,N,,
0137340,ELEKTROMOTOR VENTILA E4/21,DRI,,,,,1,,0,,1,N,,
0152080,VENTILATOR ZIDNI PVC BELA,DRI,,,,,1,,0,,1,N,,
0154547,MLIN ZA MLETJE KAVE,DRI,,,,,1,,0,,1,N,,
0154555,ZA KAVO,DRI,,,,,1,,0,,1,N,,
0154601,KASETOFON,DRI,,,,,1,,0,,1,X,,
0165999,TERMOMETER - 104609,DRI,,,,,1,,0,,1,N,,
0177555,VERIŽNA DVIGALA,DRI,,,,,1,,0,,1,N,,
0178039,TEHTNICA BETI 0-20KG,DRI,,,,,1,,0,,1,N,,
0178101,DVIGALNI VZVOD 240205,DRI,,,,,1,,0,,1,N,,
0192295,POSODA ZA IMPREGNIRANJE,DRI,,,,,1,,0,,1,N,,
0192309,BOBEN NAV.ZA JERMEN,DRI,,,,,1,,0,,1,N,,
0192317,STROJ PREBIJALNI UNIVERZALNI,DRI,,,,,1,,0,,1,N,,
0192325,STISKALNICA ROÈNA ZA JERMENE,DRI,,,,,1,,0,,1,N,,
0192333,STROJ ZA REZANJE JERMEN,DRI,,,,,1,,0,,1,N,,
0192341,STROJ ZA REZANJE TESNIL,DRI,,,,,1,,0,,1,N,,
0192368,STROJ PREBIJALNI PNEVMATSKI,DRI,,,,,1,,0,,1,N,,
0208167,ELEKTROMOTORJI PRENOS IZ OS NA DI,DRI,,,,,1,,0,,1,N,,
0220477,URA ZA MIKROMETRE SPECHT 0.10,DRI,,,,,1,,0,,1,N,,
0223700,OBTOÈNA ÈRPALKA,DRI,,,,,1,,0,,1,N,,
0240346,VREÈA ZA OBLEKO,DRI,,,,,1,,0,,1,N,,
0253014,VRTALNIK BD,DRI,,,,,1,,0,,1,N,,
0265551,AZBESTNA PONJAVA,DRI,,,,,1,,0,,1,N,,
0329665,PRIPRAVA ZA SPAJANJE,DRI,,,,,1,,0,,1,N,,
0436682,BOJLER GORENJE TIKI 80 L,DRI,,,,,207060000,,208,,1,N,,
0436828,ODVIJALEC FOLIJE,DRI,,,,,1,,0,,1,N,,
0436844,STROJÈEK ZA SELOTEJP-LEPILEC,DRI,,,,,207060000,,208,,1,N,,
0437182,PIŠTOLA ZA TOPLO LEPLJENJE,DRI,,,,,1,,0,,1,N,,
0437514,KUHALNIK ELEKTRIENI,DRI,,,,,1,,0,,1,N,,
0438057,PIŠTOLA ZA PLIN Z VENTILI,DRI,,,,,207060000,,208,,1,N,,
0438065,PIŠTOLA ZA ZRAK,DRI,,,,,207060000,,208,,1,N,,
0438189,ŠTAMPILJKA ZA DATUM,DRI,,,,,207060000,,0,,1,N,,
0438804,SPENJALEC ROENI,DRI,,,,,1,,0,,1,N,,
0440019,ŠÈITNIKI ZA OBRAZ,DRI,,,,,1,,0,,1,N,,
0440027,RESPIRATOR 2 KL,DRI,,,,,1,,0,,1,N,,
0440116,STROJ ZA VARJENJE FOLIJE,DRI,,,,,1,,0,,1,N,,
0440124,SVETILKA BATERIJSKA,DRI,,,,,1,,0,,1,N,,
