ID_ART,NAZIV,TIP_ART,POREKLO,EAN,DOBAVITELJ,PROIZVAJAL,KLASIFIKAC,SKUPINA_4,SKUPINA_3,SKUPINA_2,SKUPINA_1,SLED,ZALOGE,INTRASTAT
12,REEXPORTNO BLAGO,STO,,,,,,,,,,N,,
1,TRANSPORT+ŠPEDICIJA,STO,,,,,,,,,,N,,
1,VZOR?NA STORITEV,STO,,,,,,,,,,N,,
20,PALETA 20 KG,STO,,,,,,,,,,N,,
39,PALETA 39 KG,STO,,,,,,,,,,N,,
9900768,* TRANSPORT CHARGES,STO,,,,,,,,,,N,,
9900779,USLUGE RAZNO,STO,,,,,109439000,,,,,N,,
9900781,STROŠKI,STO,,,,,109439000,,109,,1,N,,
9900830,###,STO,,,,,,,,,,N,,
9901278,SELITEV A2 LINIJE,STO,,,,,306000000,,306,,,N,,
9901341,PREGLED DVIGAL,STO,,,,,304000000,,304,,,N,,
9901342,PREGLED STROJEV,STO,,,,,304000000,,304,,,N,,
9902089,POSEBNI ODPADKI,STO,,,,,1,,0,,,N,,
9904304,STORITVE RAZNE ZA TM,STO,,,,,106380000,,106,,,N,,
9904339,TM TRANSPORT + ŠPEDICIJA,STO,,,,,106380000,,106,,,N,,
9904429,STORITEV - TM,STO,,,,,207060000,,206,,,N,,
9904610,TM SPLOŠNI IDENT,STO,,,,,206380000,,206,,1,N,,
9904611,TM STORITVE,STO,,,,,206380000,,206,,,N,,
9904712,PREVOZ,STO,,,,,300000000,,300,,,N,,
9906653,STORITEV PAKIRANJA  TIPI TOP,STO,,,,,101000000,,101,,,N,,
9906726,STORITVE TM KOM.,STO,,,,,106380000,,106,,,N,,
9907263,STORITVE PBB  URE,STO,,,,,106000000,,106,,,N,,
9908523,BREMEPIS,STO,,,,,,,,,,N,,
9909171,RAZREZ,STO,,,,,106000000,,106,,,N,,
9909290,RAZREZ GOBASTE KRPE V ROLAH,STO,,,,,213010000,,207,,,N,,
9909291,RAZREZ GOBASTE KRPE V ROLAH,STO,,,,,213010000,,207,,,N,,
9909809,"USLUGA VALJKANJA,PRANJA, KOSMATENJA",STO,,,,,1,,0,,,N,,
9911296,MENJAVA FILTROV IN ?IŠ?ENJE,STO,,,,,109115000,,109,,,N,,
9911670,STROŠKI-ZAVAROVALNA PREMIJA,STO,,,,,1,,0,,,N,,
9912240,STORITEV VALOVANJA KASET,STO,,,,,300000000,,300,,,N,,
9913487,ODPIRANJE VLAKEN,STO,,,,,105070000,,105,,,N,,
9915778,DODELAVA MATERIALA,STO,,,,,300000000,,300,,,N,,
9916562,MONTAŽA FILTROV P1,STO,,,,,106000000,,300,,1,N,,
9916923,REEKSPORTNO BLAGO,STO,,,,,,,,,,N,,
9919412,STORITEV TUJI TRG BREZ DDV,STO,,,,,,,,,,N,,
9920338,KOFIL ODVOZ IN UNI?ENJE VRE? (POLOVICA),STO,,,,,104071004,,300,,,N,,
