ID_ART;NAZIV;TIP_ART;POREKLO;EAN;DOBAVITELJ;PROIZVAJAL;KLASIFIKAC;SKUPINA_4;SKUPINA_3;SKUPINA_2;SKUPINA_1;SLED;ZALOGE;INTRASTAT
9901054;USLUGA BRUŠENJA NOŽEV;STP;;;;;0000001;;0000;;0001;N;;
9902635;DODELAVA-MIKROPOROZNA MEMBRANA;STP;;;;;0300000000;;0300;;;N;;
9908670;USLUGA ŠKROBLJENJA ART.;STP;;;;;0000001;;0000;;0001;N;;
9908673;ODVOZ;STP;;;;;0300000000;;0300;;0001;N;;
9908706;STORITVE-LAB.INKA;STP;;;;;0109439000;;0109;;;N;;
9911266;STORITEV DOM. TRG Z DDV 22%;STP;;;;;;;;;;N;;
9912217;STORITEV KRIVLJENJA;STP;;;;;0300000000;;0300;;;N;;
9918690;STORITEV-UPORABA SUŠILNICE NA B LINIJI;STP;;;;;;;;;;N;;
9929457;TREBS MICROFASER 150 CM;STP;;;;;0102200000;;;;;N;;
9933048;MERCIS ADJUSTIRANJE VERONA-CHANTAL;STP;;;;;0102200000;;;;;N;;
9933073;LINA DESIGN APRETIRANJE;STP;;;;;0102200000;;;;;N;;
9933074;LAMINIRANJE 562456 P-WOP ST3 1,35 1500;STP;;;;;0102200000;;;;;N;;
9933075;LAMINIRANJE 562275 P-WOP PFO 0,95 1500;STP;;;;;0102200000;;;;;N;;
9934894;KSM DOT COATING;STP;;;;;0102200000;;;;;N;;
9935401;CENTELIN GRAMA FILC + PE FOLIJA 154 CM;STP;;;;;0102200000;;;;;N;;
9936431;STORITEV PREVOZA FILTRA;STP;;;;;;;;;;N;;
9937643;ROVAGNATI PE COATING 30X30 17X17;STP;;;;;0102200000;;;;;N;;
9938128;TREBS HYDOPHOBIC TREATMENT FC;STP;;;;;0102200000;;;;;N;;
9938441;ROVAGNATI BLACK DYEING TESS.30/17;STP;;;;;;;;;;N;;
9938454;ROVAGNATI BLACK DYEING + PE COATING;STP;;;;;0102200000;;;;;N;;
9938830;PLAMA 10 MM PV 150 CM;STP;;;;;0102200000;;;;;N;;
9938831;PLAMA 13,5 MM PV 150 CM;STP;;;;;0102200000;;;;;N;;
9938832;PLAMA 18 MM PV 150 CM;STP;;;;;0102200000;;;;;N;;
9938846;LAMINACIJA TKANINE NA FLIS;STP;;;;;0102200000;;;;;N;;
9939015;SILON 302 WR 0,80/1500 ANTRACIT;STP;;;;;0102200000;;;;;N;;
9939017;SILON N-320/2,2 OH ANTRACIT /1500-C6;STP;;;;;0102200000;;;;;N;;
9939019;ARTICLE WR 20/1500 BLACK;STP;;;;;0102200000;;;;;N;;
9939020;SILON N-500*OH WHITE/1500-C6;STP;;;;;0102200000;;;;;N;;
9939054;SILON N-500 OH ANTRACIT 1500 C-6;STP;;;;;0102200000;;;;;N;;
9939110;SILON 302 WR 1,50/1500 ANTRACIT;STP;;;;;0102200000;;;;;N;;
9939111;SILON 302 WR 2,00/1500 ANTRACIT;STP;;;;;0102200000;;;;;N;;
9939112;SILON N-500 OH ANTRACIT 1500-C 6;STP;;;;;0102200000;;;;;N;;
9939123;CENTELIN SILON ELAST 150 CM;STP;;;;;0102200000;;;;;N;;
9939150;ARTIKEL VZ 111;STP;;;;;0102200000;;;;;N;;
9939154;APRETIRANJE PROTI ZAMAZANJU;STP;;;;;0102200000;;;;;N;;
9940197;LAMINACIJA S TRP;STP;;;;;0102200000;;;;;N;;
9940198;FLAME RETARDANT OBDELAVA;STP;;;;;0102200000;;;;;N;;
9940736;ODREZKI PENE;STP;;;;;0102200000;;;;;N;;
9940832;TREBS ANTIMICROBIAL TREATMENT;STP;;;;;0102200000;;;;;N;;
9941429;LEPILNI NANOS (USLUGA);STP;;;;;0102200000;;;;;N;;
9941771;WARUMUP TAÈKE 150 CM;STP;;;;;0102200000;;;;;N;;
9941772;WARMUP TAÈKE 150 CM;STP;;;;;0102200000;;;;;N;;
9941899;PRANJE SILON;STP;;;;;0102200000;;;;;N;;
9941994;PRANJE SILON ZVEZDA;STP;;;;;0102200000;;;;;N;;
9942240;LAMINIRANJE FILTROV;STP;;;;;0102200000;;;;;N;;
9943799;FREUDENBERG NANOS KAPA/ABIFOR 1639;STP;;;;;0102200000;;;;;N;;
9946255;ZVEZDA KONFILIN P-123 (320);STP;;;;;0102200000;;;;;N;;
NOVA;FILTER;STP;;;;;;;;;;N;;
S00010;!!! POPRAVILO VODNE ÈRPALKE;STP;;;;;0206000100;;0206;;0001;N;;
S003;SILIKONIZIRANJE PP OV.TKANINE;STP;;;;;0105070000;;0105;;0001;N;;
