UPORABNIK,IME,O_SKUP,EMSO,DAV_ST,KONTAKT,EMAIL,TELEFON,GSM,DRZAVA,KRAJ,POSTA,NASELJE,ULICA,HISNA_ST,SKLADISCE,STATUS
U1,CARGOTRADE D.O.O.,,,74626183,,,,,SI,KRANJ,4000,,,,,s
U1,GORENJSKA MLEKARNA,,,,,,,,SI,KRANJ,4000,,,,,s
U1,"KOTO KOTEKS TOBUS, P",,,,,,,,SI,LJUBLJANA,1000,,,,,s
U1,SUROVINA D.O.O.,,5003393000,10304452,,,02 250 70 10,,SI,MARIBOR,2000,,,,,@s
U1,PUR ALOJZ,,,,,,,,SI,RIBNICA NA POHORJU,2364,,,,,s
U1,VULCANO,,,36927651,,,"03-492 6810,041-641-104",,SI,CELJE,3000,,,,,s
U1,BREMEC CVETKA-CVETKO,,,,,,,,SI,MOST NA SOÈI,5216,,,,,s
U1,SPLOŠNA BOLNIŠNICA MARIBOR,02,,56644817,,,02/321 23 29,,SI,MARIBOR,2000,,,,,s
U1,MITNICA D.O.O.,,,93874642,,,705-6056,,SI,VRANSKO,3305,,,,,s
U1,GUMIIMPEX-GRP D.O.O.,,,,,info@gumiimpex.hr,"00385 42 404 500, 404 517 (568 Maja)",,HR,VARAŽDIN,42000,,,,,1
U1,TEOL KEMIÆNA INDUSTRIJA D.D.,,,57178607,,,01 540 11 04,,SI,LJUBLJANA,1000,,,,,s
U1,PEDENJ-PED,,,,,,,,SI,KRANJ,4000,,,,,s
U1,ÈZP ENOTNOST DO V US,,,,,,,,SI,LJUBLJANA,1000,,,,,s
U1,VRBNJAK ANTON,,,,,,,,SI,VIDEM OB ŠÈAVNICI,9244,,,,,s
U1,ELVACO,,,,,,,,SI,,76300,,,,,s
U1,CONCORDE   D.O.O.,,,,,,,,SI,RAVNE NA KOROŠKEM,2390,,,,,s
U1,"IDEAL,D.O.O.",063,,48325082,,,896 8780,,SI,VELENJE,3320,,,,,s
U1,OLJARNA FRAM,,,62502026,,,,,SI,FRAM,2313,,,,,s
U1,KONUS KOKO  TITOV TR,,,,,,,,SI,SLOVENSKE KONJICE,3210,,,,,s
