ID_ART,NAZIV,TIP_ART,POREKLO,EAN,DOBAVITELJ,PROIZVAJAL,KLASIFIKAC,SKUPINA_4,SKUPINA_3,SKUPINA_2,SKUPINA_1,SLED,ZALOGE,INTRASTAT
11673,OKROGLI JERMEN PUR FI 6 /ES230,MAT,IT,,,,216040500,,,,1,N,,
26387,"USNJE TELEÈJE (TEHNIÈNA TELETINA) 0,8",MAT,,,,,211040000,,,,1,N,,
26468,"USNJE GOV TEHN 4,5-5,0MM KRUPON VEGE JOA",MAT,,,PO23206,,211040000,,,,1,N,,
38709,"FIL.STEKLENI 94-0,34/393 SIV",MAT,,,,,106128000,,106,,1,N,,
7,TEST FILTER PE-600 HKT,MAT,,,,,103010000,,103,,,N,,
74365,OKROGLI JERMEN PUR FI 5 NE UPORABLAJ,MAT,,,,,109129000,,0,,1,N,,
114057,TKANINA ZA VREÈKE,MAT,,,,,1,,0,,1,N,,
160431,TKANINA POLIAMIDNA ÈRNA,MAT,,,,,1,,0,,1,N,,
179299,"VL.PES 1,7/38 T-290 TREVIRA",MAT,,,,,201010100,,201,,1,K,,
191523,"VL.PES 6,7/60 T-73 OSIR-MONTEFIBRE",MAT,,,,,201010400,,201,,1,K,,
204447,PALICA TR3/5 PVC 25X11X5200 RUM,MAT,,,,,1,,0,,1,N,,
208655,FLATEX JERMEN LL 100 E,MAT,,,,,109112200,,,,1,N,,
220795,LEPILO KEMISKOL E 2000-E 413,MAT,,,,,109117000,,204,,1,N,,
273252,VL.PES SIL. 6/60 T-206 TREVIRA VOT,MAT,,,,,201060000,,201,,1,K,,
278041,"VL.PES 1,5/38 TIP-11 MONTEFIBRE",MAT,,,,,201010200,,201,,1,K,,
282731,"VL.PES 6,7/57 HC S.DULL ELANA",MAT,,,,,201010400,,201,,1,K,,
285048,VL.CEL 3/50 ÈRNA,MAT,,,,,201020000,,201,,1,K,,
285919,!!!VL.PES 15/57 HC ELANA,MAT,,,,,201000000,,201,,1,K,,
328375,TKANINA GS ART.NR. 2 88 26,MAT,,,,,1,,0,,1,N,,
328421,TRANSILON,MAT,,,,,1,,0,,1,N,,
328472,TKANINA PA  PU RDEÈI PREMAZ,MAT,,,,,109620000,,,,1,N,,
329134,PVC FOLIJA,MAT,,,,,216040100,,,,1,N,,
329142,TRANSPORTNI TRAK FDA,MAT,,,,,216040100,,0,,1,N,,
329231,"GUMIRANA TKANINA DEB.1,4",MAT,,,,,212010000,,0,,1,N,,
329266,SILIKONSKI TRAK,MAT,,,,,1,,0,,1,N,,
329320,USNJE TEH.TELETINA,MAT,,,,,1,,0,,1,N,,
329363,TKANINA GUM.1.1.SIVA,MAT,,,,,1,,0,,1,N,,
329371,SUPRANYL FOLIJA,MAT,,,,,1,,0,,1,N,,
329401,TKANINA GU 0.6 ÈRNA,MAT,,,,,1,,0,,1,N,,
329541,POLIAMID GEWEBE HABASIT,MAT,,,,,212020000,,,,1,N,,
329711,"POLIAMID-FOLIJA 0,55 MM (ZB-05501)",MAT,,,,,212020000,,,,1,N,,
329738,"POLIAMID-FOLIJA 1,2 MM (ZB-12001)",MAT,,,,,212020000,,,,1,N,,
329746,POLIAMID 14 (P 7/1-NA TRANSPARENT FDA),MAT,DE,,,,212020000,,,,1,N,,
329754,POLIAMID 20 (P 10/1-NA TRANSPARENT FDA),MAT,DE,,,,212020000,,,,1,N,,
330116,POLIAMID 4 (P 2/1-NA TRANSPARENT FDA),MAT,GE,,,,212020000,,,,1,N,,
330124,POLIAMID 6 (P 3/1-NA TRANSPARENT),MAT,GE,,,,212020000,,,,1,N,,
330132,POLIAMID 50 EH,MAT,,,,,212020000,,,,1,N,,
330140,POLIAMID 150 EH,MAT,,,900667,,212020000,,,,1,N,,
330159,POLIAMID 100 EH,MAT,IT,,,,212020000,,,,1,N,,
330167,POLIAMID TORAY 75 EH,MAT,,,900667,,212020000,,,,1,N,,
330175,POLIAMID 175 EH,MAT,,,,,212020000,,,,1,N,,
330191,### ZOBATI JERM. T10 300,MAT,,,,,1,,0,,1,N,,
330493,### VARIATOR JERM,MAT,,,,,1,,0,,1,N,,
330574,POLIAMID 35 E,MAT,,,,,212020000,,,,1,N,,
330612,GUMI VALJÈKI 30X28,MAT,,,,,1,,0,,1,N,,
330655,### ZOB.JERM. 200XL 470,MAT,,,,,1,,0,,1,N,,
330760,### ZOBATI JERM. L 470,MAT,,,,,1,,0,,1,N,,
330841,### ZOBATI JERM. H 470,MAT,,,,,1,,0,,1,N,,
330868,"""PU KLINASTI JERMEN """"10""""(RD)""",MAT,,,,,109121300,,,,1,N,,
330876,ZOBATI J. 8M,MAT,,,,,109140000,,,,1,N,,
331058,### ZOB.JERM.PU T5,MAT,,,,,1,,0,,1,N,,
331074,### ZOB.JERM. 14M,MAT,,,,,1,,0,,1,N,,
437638,"!!!VL.PES 1,7/38 MOGILJEV",MAT,,,,,201000000,,201,,1,K,,
438278,"VL.META ARAMID 2,2DTEX/75 MM T-450 NOMEX",MAT,,,,,201060000,,201,,1,K,,
439673,"!!! VL.PES 1,7/38 GRISUTEN",MAT,,,,,201000000,,201,,1,K,,
439940,"VL.PES 3,1/57 TIP-4 TESIL 12",MAT,,,,,201010300,,201,,,K,,
