ID_ART,NAZIV,TIP_ART,POREKLO,EAN,DOBAVITELJ,PROIZVAJAL,KLASIFIKAC,SKUPINA_4,SKUPINA_3,SKUPINA_2,SKUPINA_1,SLED,ZALOGE,INTRASTAT
9945631,FLIS/S 0110 170/230,POL,,,,,208050000,,,,,M,,
9947059,FLIS/S 0110 560/2.8/170,POL,,,,,208050000,,,,,S,,
9945893,FLIS/S 0120 770/3.8/162,POL,,,,,208050000,,,,,S,,
9946408,FLIS/S 0120 770/3.8/178,POL,,,,,208050000,,,,,S,,
9945106,FLIS/S 0120 790/3.9/162,POL,,,,,208050000,,,,,S,,
9947503,FLIS/S 0120 790/3.9/164,POL,,,,,208050000,,,,,S,,
9947254,FLIS/S 0120 790/3.9/165,POL,,,,,208050000,,,,,N,,
9948444,FLIS/S 0320 770/3.8/168,POL,,,,,102010000,,,,,S,,
9946498,FLIS/S 0320 770/3.8/172,POL,,,,,208050000,,,,,S,,
9946423,FLIS/S 0320 770/3.8/178,POL,,,,,208050000,,,,,S,,
9946569,FLIS/S 0320 770/3.8/182,POL,,,,,208050000,,,,,S,,
9948901,FLIS/S 0320 770/3.8/187,POL,,,,,208050000,,,,,S,,
9946499,FLIS/S 0320 770/3.8/217,POL,,,,,208050000,,,,,S,,
9946546,FLIS/S 0320 770/3.8/222,POL,,,,,208050000,,,,,S,,
9948140,FLIS/S 0320 770/3.8/232,POL,,,,,208050000,,,,,S,,
9948090,FLIS/S 0320 850/4.2/230,POL,,,,,208050000,,,,,S,,
9946424,FLIS/S 0330 770/3.8/178,POL,,,,,208050000,,,,,S,,
9947520,FLIS/S 0330 770/3.8/212,POL,,,,,208050000,,,,,S,,
9945264,FLIS/S 1120 840/4.2/162,POL,,,,,208050000,,,,,N,,
9948770,FLIS/S 11412 250/1.5/150,POL,,,,,102070000,,,,,S,,
9946406,FLIS/S 2220 300/1.9/174,POL,,,,,208050000,,,,,S,,
9947314,FLIS/S 2220 310/2.4/195,POL,,,,,208050000,,,,,N,,
9946061,FLIS/S 2220 350/1.7/164,POL,,,,,208050000,,,,,S,,
9948843,FLIS/S 2220 370/1.8/164,POL,,,,,102070000,,,,,S,,
9948844,FLIS/S 2220 400/2.2/164,POL,,,,,102070000,,,,,S,,
9947135,FLIS/S 2220 420/3.4/190,POL,,,,,208050000,,,,,S,,
9945971,FLIS/S 2220 420/3.4/195,POL,,,,,208050000,,,,,S,,
9946584,FLIS/S 2220 500/2.8/162,POL,,,,,208050000,,,,,S,,
9946170,FLIS/S 2220 500/2.8/167,POL,,,,,208050000,,,,,S,,
9946407,FLIS/S 2220 600/4.5/170,POL,,,,,208050000,,,,,S,,
9945881,FLIS/S 3520 250/1.5/162,POL,,,,,208050000,,,,,S,,
9946957,FLIS/S 3530 250/1.5/162,POL,,,,,208050000,,,,,S,,
9946733,FLIS/S 3720 310/2.4/195,POL,,,,,208050000,,,,,S,,
9946779,FLIS/S 3720 350/1.7/168,POL,,,,,208050000,,,,,S,,
9947444,FLIS/S 3720 420/3.4/190,POL,,,,,208050000,,,,,S,,
9946785,FLIS/S 3720 420/3.4/195,POL,,,,,208050000,,,,,N,,
9946803,FLIS/S 3730 250/2.3/190,POL,,,,,102080000,,,,,S,,
9948446,FLIS/S 3730 310/2.4/195,POL,,,,,208050000,,,,,S,,
9947191,FLIS/S 3730 420/3.4/190,POL,,,,,208050000,,,,,S,,
9946688,FLIS/S 3730 420/3.4/195,POL,,,,,208050000,,,,,S,,
9946657,FLIS/S 4320 560/6.1/238,POL,,,,,208050000,,,,,S,,
9946204,FLIS/S 4420 600/4.6/200,POL,,,,,208050000,,,,,S,,
9947401,FLIS/S 4420 900/4.4/175,POL,,,,,208050000,,,,,S,,
9946205,FLIS/S 4420 900/4.4/185,POL,,,,,208050000,,,,,S,,
9947400,FLIS/S 4520 800/5.5/172,POL,,,,,208050000,,,,,S,,
9946319,FLIS/S 4620 560/6.1/238,POL,,,,,208050000,,,,,S,,
9946941,FLIS/S 4620 570/6.2/225,POL,,,,,208050000,,,,,S,,
9946512,FLIS/S 6120 550/2.7/205,POL,,,,,208050000,,,,,S,,
9947230,FLIS/S 6120 750/3.7/172,POL,,,,,208050000,,,,,S,,
9945966,FLIS/S 6120 790/3.9/162,POL,,,,,208050000,,,,,S,,
9945619,FLIS/S 6120 790/3.9/165,POL,,,,,208050000,,,,,S,,
9946777,FLIS/S 6120 790/3.9/200,IZD,,,,,102010000,S17,102,,1,S,,
9947585,FLIS/S 6120 830/4.1/172,POL,,,,,208050000,,,,,S,,
9946646,FLIS/S 6120 890/4.4/162,POL,,,,,208050000,,,,,S,,
9946464,FLIS/S 6120 890/4.4/165,POL,,,,,208050000,,,,,S,,
9947291,FLIS/S 6120 890/4.4/172,POL,,,,,208050000,,,,,S,,
9946062,FLIS/S 6120 890/4.4/200,IZD,,,,,102010000,S17,102,,1,S,,
9947586,FLIS/S 6620 300/2.5/150,POL,,,,,208050000,,,,,S,,
9947253,FLIS/S 6620 500/3.8/150,POL,,,,,208050000,,,,,S,,
9947252,FLIS/S 8020 500/3.0/165,POL,,,,,208050000,,,,,N,,
9947420,FLIS/S 8030 500/3.0/160,POL,,,,,208050000,,,,,S,,
9948735,FLIS/S 8030 500/3.0/170,POL,,,,,208050000,,,,,S,,
9946587,FLIS/S 8130 850/5.1/172,POL,,,,,208050000,,,,,S,,
9946588,FLIS/S 8220 150/2.2/230,POL,,,,,102070000,S21,,,,S,,
9946810,FLIS/S 8220 400/2.0/215,IZD,,,,,102070000,S21,,,,S,,
9946811,FLIS/S 8230 150/2.0/230,POL,,,,,102070000,S21,,,,S,,
9949204,FLIS/S 8230 250/2.4/230,POL,,,,,102070000,S21,,,,S,,
9947150,FLIS/S 8230 400/2.0/215,POL,,,,,102070000,S21,,,,S,,
9947151,FLIS/S 8320 170/230,POL,,,,,208050000,,,,,S,,
9948178,FLIS/S 8330 170/230,POL,,,,,208050000,,,,,S,,
9948416,FLIS/S 8330 770/3.8/162,POL,,,,,208050000,,,,,S,,
9946890,FLIS/S 8420 400/2.2/162,POL,,,,,208050000,,,,,S,,
9946930,FLIS/S 8430 400/2.2/162,POL,,,,,208050000,,,,,S,,
9947222,FLIS/S 8630 1050/7.0/162,POL,,,,,208050000,,,,,S,,
9947034,FLIS/S 9520 310/2.4/195,POL,,,,,208050000,,,,,N,,
9947418,FLIS/S 9520 420/3.4/190,POL,,,,,208050000,,,,,N,,
9947419,FLIS/S 9530 310/2.4/195,POL,,,,,208050000,,,,,S,,
9947331,FLIS/S 9530 420/3.4/195,POL,,,,,208050000,,,,,S,,
9947330,FLIS/S 9820 600/4.6/200,POL,,,,,208050000,,,,,S,,
9947513,FLIS/S KOMPO.F750 MOUSE/WN 505 NATUR,POL,,,,,209020000,,,,,N,,
9928975,FLIS/S NOTRANJKE N-00-MOUSE,POL,,,,,209020000,,,,,N,,
9939282,FLIS/S NOTRANJKE N-00-OH-G-ANTRACIT,POL,,,,,209020000,,,,,N,,
9925715,FLIS/S NOTRANJKE R-04-ANTRACIT,POL,,,,,209020000,,,,,N,,
9943647,FLIS/S SC 1354,POL,,,,,209020000,,,,,N,,
9941225,FLIS/S SILON 131,POL,,,,,102070000,S3,,,,N,,
9943572,FLIS/S SILON 239C,POL,,,,,102070000,S3,,,,N,,
9943571,FLIS/S SILON 300B,POL,,,,,209020000,,,,,N,,
9937251,FLIS/S SILON 300B,POL,,,,,209020000,,,,,N,,
9937666,FLIS/S SILON 600. 500. 300. 200-TREVIRA,POL,,,,,209020000,,,,,N,,
9925547,FLIS/S SILON 602. 502. 302. 202-MOGILJEV,POL,,,,,209020000,,,,,N,,
9925676,FLIS/S SILON BASIC,POL,,,,,209020000,,,,,N,,
9935632,FLIS/S SILON ELAST,POL,,,,,102000000,S3,,,,S,,
9938863,FLIS/S SILON ELAST LAMINIRANJE ZVEZDA,IZD,,,,,102200000,,,,,X,,
9940272,FLIS/S SILON ELAST LD,POL,,,,,209020000,,,,,N,,
9940327,FLIS/S SILON ELAST META,POL,,,,,102071009,S3,,,,N,,
9943619,FLIS/S SILON ELAST REG,POL,,,,,102000000,S3,,,,N,,
9944906,FLIS/S SILON FE,POL,AD,,,,209020000,,,,,N,,
9941576,FLIS/S SILON GRS,POL,,,,,102010000,,,,,N,,
9945282,FLIS/S SILON RF 13 WR,POL,,,,,209020000,,,,,N,,
9927398,,,,,,,,,,,,,,
