ID_DOK;STM;TD;DN;Konto;Število
22009068;NULL;DN;DN22009068;NULL;17
22009060;NULL;DN;DN22009060;NULL;1
22009053;NULL;DN;DN22009053;NULL;2
22009052;NULL;DN;DN22009052;NULL;1
22009051;NULL;DN;DN22009051;NULL;27
22009050;NULL;DN;DN22009050;NULL;2
22009046;NULL;DN;DN22009046;NULL;1
22009044;NULL;DN;DN22009044;NULL;16
22009036;NULL;DN;DN22009036;NULL;30
22009035;NULL;DN;DN22009035;NULL;1
22009033;NULL;DN;DN22009033;NULL;14
22009027;NULL;DN;DN22009027;NULL;11
22009023;NULL;DN;DN22009023;NULL;2
22009022;NULL;DN;DN22009022;NULL;3
22009020;NULL;DN;DN22009020;NULL;34
22009018;NULL;DN;DN22009018;NULL;6
22009017;NULL;DN;DN22009017;NULL;2
22009016;NULL;DN;DN22009016;NULL;6
22009015;NULL;DN;DN22009015;NULL;16
22009014;NULL;DN;DN22009014;NULL;8
22009013;NULL;DN;DN22009013;NULL;4
22009012;NULL;DN;DN22009012;NULL;1
22009009;NULL;DN;DN22009009;NULL;2
22009008;NULL;DN;DN22009008;NULL;12
22009007;NULL;DN;DN22009007;NULL;24
22009006;NULL;DN;DN22009006;NULL;4
22009002;NULL;DN;DN22009002;NULL;1
22009001;NULL;DN;DN22009001;NULL;6
22009000;NULL;DN;DN22009000;NULL;4
22008999;NULL;DN;DN22008999;NULL;2
22008997;NULL;DN;DN22008997;NULL;3
22008996;NULL;DN;DN22008996;NULL;2
22008995;NULL;DN;DN22008995;NULL;1
22008994;NULL;DN;DN22008994;NULL;1
22008992;NULL;DN;DN22008992;NULL;4
22008989;NULL;DN;DN22008989;NULL;12
22008986;NULL;DN;DN22008986;NULL;7
22008983;NULL;DN;DN22008983;NULL;4
22008982;NULL;DN;DN22008982;NULL;1
22008981;NULL;DN;DN22008981;NULL;1
22008980;NULL;DN;DN22008980;NULL;3
22008979;NULL;DN;DN22008979;NULL;19
22008977;NULL;DN;DN22008977;NULL;8
22008976;NULL;DN;DN22008976;NULL;4
22008974;NULL;DN;DN22008974;NULL;1
22008971;NULL;DN;DN22008971;NULL;3
