VRSTAMAT;DAVEK_PROC;EM;IDENT;NAZIV;KOLICINA;PORABA;ZELENA_KOL;ID_DOK;TIP_CENE;SKLADIŠČE;CENA;VREDNOST;CENA2
POL;22;M2;9945805;FLIS/F T4 (0101)25 475/222;2354;2354;0;22006696;EUR;22210;0;0;0
POL;22;M2;9945858;FLIS/F T3 (0504)24 575/222;1610,35;1191,45;0;22006695;EUR;22210;0;0;0
POL;22;M2;9946448;FLIS/F T3 (0904)24 575/232;9540;9540;0;22006694;EUR;22210;0;0;0
POL;22;M2;9945584;FLIS/F T15 (2424)24 500/223;1575;0;0;22006693;EUR;22210;0;0;0
POL;22;M2;9945776;FLIS/F T9 (2020)24 500/219;2080;0;0;22006693;EUR;22210;0;0;0
POL;22;M2;9944167;FLIS/F 0110 210/245;11698,16;0;0;22006692;EUR;22210;0,443;5182,28;0
POL;22;M2;9944167;FLIS/F 0110 210/245;11698,16;0;0;22006692;EUR;22210;0,443;5182,28;0
POM;22;M2;9946978;TK. PES 55/45 - 235CM KONUS S;11660;0;0;22006692;EUR;22210;0,41;4780,6;20221122
POL;22;M2;9928459;FILTER PE-501 HGT DX - KOFIL;864;0;864;22006691;EUR;23410;2,13;1840,32;0
MAT;22;M;9905319;VRVICA NYLON  FI 10 PES ART.2100-50;415,8;0;415,8;22006691;EUR;25410;0,764;317,67;0
POL;22;M2;9928395;FILTER F-10/300 M - KOFIL;100;0;100;22006690;EUR;23410;1,017;101,7;0
MAT;22;M2;8800981;PARAPRINT OL20;462;0;462;22006689;EUR;25410;0,23276;107,54;0
POM;22;TM;9910499;GUMA - PENEČA FI 15;90;90;90;22006688;EUR;23410;0,867;78,03;0
POL;22;M2;9947885;FILTER PE-501 AGT BT H KOFIL;120;0;120;22006688;EUR;23410;0;0;0
POL;22;M2;9928297;FILTER F-5/100 - KOFIL;80;0;80;22006687;EUR;23410;0,42;33,6;0
POL;22;M2;9947069;FILTER PE-451 AGT-BT OH 220 KOFIL;16;0;16;22006686;EUR;23410;1,78;28,48;0
POL;22;M2;9947069;FILTER PE-451 AGT-BT OH 220 KOFIL;35;0;35;22006686;EUR;23410;1,78;62,3;0
POM;22;KG;9901480;VZMETNI TRAK ŠIR.25 MM,DEB.0,4 MM ČRNI;8;0;8;22006686;EUR;25410;4,96373;39,71;0
POM;22;KG;9901480;VZMETNI TRAK ŠIR.25 MM,DEB.0,4 MM ČRNI;0,25;0;0,25;22006686;EUR;25410;4,96373;1,24;0
POM;22;TM;9922455;U TRAK;12,5;0;12,5;22006686;EUR;25410;0,1324;1,66;0
POM;22;TM;9922455;U TRAK;8,32;0;8,32;22006686;EUR;25410;0,1324;1,1;0
POM;22;M2;9925533;KOFIL  FF 600 AR 6/FIS4510 MM20 S 550;19,008;19,008;19,008;22006685;EUR;25410;5,1865;98,58;0
MAT;22;M2;9930761;TR.TRAK 2M8 U0-U2 /NA336;1,3179;1,3179;1,3179;22006684;EUR;22410;33,29837;43,88;0
MAT;22;M2;9940381;TR.TRAK 2T12 V5 U3 FD2.8;1,09988;1,09988;1,09988;22006684;EUR;22410;26,9951;29,69;0
MAT;22;M2;9940381;TR.TRAK 2T12 V5 U3 FD2.8;4,18421;4,18421;4,18421;22006684;EUR;22410;26,9951;112,95;0
POL;22;M2;9930308;POL.FLATEX JERMEN GG 60;0,17509;0,17509;0,17509;22006683;EUR;23410;72,24;12,65;0
POL;22;M2;9929279;POL.FLATEX 80 LT 100 ROLA;0,4945;0,4945;0,4945;22006682;EUR;23410;77,1799;38,17;0
POL;22;M2;9929279;POL.FLATEX 80 LT 100 ROLA;0,25156;0,25156;0,25156;22006682;EUR;23410;77,1799;19,42;0
MAT;22;M2;8800984;PARAPRINT OL35;396;0;396;22006681;EUR;25410;0,32263;127,76;0
MAT;22;KG;9906650;VL.PES 3,3/60 T54 NSD SASA;326,5542;326,5542;326,5542;22006680;EUR;22210;1,65108;539,17;0
MAT;22;KG;9906650;VL.PES 3,3/60 T54 NSD SASA;216,3672;216,3672;216,3672;22006679;EUR;22210;1,65108;357,24;0
MAT;22;KG;9906650;VL.PES 3,3/60 T54 NSD SASA;808,41915;808,41915;808,41915;22006678;EUR;22230;1,48114;1197,38;0
MAT;22;KG;9946723;VL.PES 1,6/51 T158 NSD SASA;1886,31135;1886,31135;1886,31135;22006678;EUR;22230;1,4311;2699,5;0
MAT;22;M2;329746;POLIAMID 14 (P 7/1-NA TRANSPARENT FDA);29,484;29,484;0;22006677;EUR;22210;22,97885;677,51;20220919
MAT;22;M2;329746;POLIAMID 14 (P 7/1-NA TRANSPARENT FDA);50,232;0,516;0;22006677;EUR;22210;22,97885;1154,27;20220919
MAT;22;M2;9907256;GUMIRANA TKANINA-RUMENA 0,8 MM, CL.270;30,888;31;0;22006677;EUR;22210;18,09899;559,04;20221012
MAT;22;M2;9918711;TKANINA ČRNA;25,116;25;0;22006677;EUR;22210;5,26736;132,3;20210518
MAT;22;M2;9935534;"USNJE ROLA 2,0-2,5; 600MM, 163M, P KOTOM";26,312;0;0;22006677;EUR;22210;30,39457;799,74;20150729
MAT;22;M2;9938349;GUMIRANA TKANINA-ZELENA 0,8 MM, CL.652;30,888;31;0;22006677;EUR;22210;18,099;559,04;20221012
POL;22;M2;9948334;C NOVBELT 400 HC BLACK 2000 MM;7400;4413,05;0;22006676;EUR;22210;0;0;0
POL;22;M2;9945679;FLIS/F T4 (0404)24 450/237;3657;0;0;22006675;EUR;22210;0;0;0
POL;22;M2;9945679;FLIS/F T4 (0404)24 450/237;2438;0;0;22006675;EUR;22210;0;0;0
POL;22;M2;9928450;FILTER PE-501 AGT-BT;185,8;185,8;185,8;22006674;EUR;23410;2,31;429,2;0
MAT;22;M2;329746;POLIAMID 14 (P 7/1-NA TRANSPARENT FDA);26,775;27;0;22006673;EUR;22210;22,97885;615,26;20220919
MAT;22;M2;9907256;GUMIRANA TKANINA-RUMENA 0,8 MM, CL.270;28,05;29,5;0;22006673;EUR;22210;18,09899;507,68;20221012
MAT;22;M2;9938349;GUMIRANA TKANINA-ZELENA 0,8 MM, CL.652;28,05;29,62;0;22006673;EUR;22210;18,099;507,68;20221012
MAT;22;KOS;9941844;KOFIL PLANSKO SITO;30;30;30;22006672;EUR;25410;13,343;400,29;0
MAT;22;KOS;6110330;WC GARNITURA OGLATA PROFI M;18;18;0;22006671;EUR;22610;0,84;15,12;20220221
MAT;22;KOS;9906750;WC ŠČETKA Z ZANKO;29;29;0;22006671;EUR;22610;0,41;11,89;20220120
MAT;22;KOS;6113030;ROČNA RIBARICA OBLIKA LESENA PROFI M;2;2;0;22006670;EUR;22610;0,45;0,9;20221013
MAT;22;KOS;6118012;ZOBOTREBEC TULEC 3X110KOM BARVNI PROFI M;25;25;0;22006670;EUR;22610;0,33392;8,35;20220826
