VRSTAMAT;DAVEK_PROC;EM;IDENT;NAZIV;KOLICINA;A_KOLICINA;PORABA2;ID_DOK;TIP_CENE;SKLADIŠÈE;CENA;VREDNOST;PLAN_CENA
TRG;22;KOS;7770251;KLINASTI J. A/13 A55 1400LI 1421LW;1;0;0;22000001;EUR;22400;2,21;2,21;2,555
TRG;22;KOS;7775226;KLINASTI J. XPA 2430;2;0;0;22000001;EUR;22400;11,465;22,93;0
TRG;22;M2;9904270;GUMA ZA OBL.VALJ. SG7L;0,75;0;0;21000001;EUR;22400;20,46666667;15,35;20,46
TRG;22;M;9939866;TUBULAR FELT 4TUB 0,3/5 ENDLES;24,5;0;0;21000001;EUR;22400;5,656734694;138,59;5,565
TRG;22;M2;9904270;GUMA ZA OBL.VALJ. SG7L;0,75;0;0;20000002;EUR;22400;20,45333333;15,34;20,46
TRG;22;M2;9944539;TR.TRAK SILON 25 HC;1,362;0;0;20000002;EUR;22400;50,87371513;69,29;0
TRG;22;M2;9945124;NG EP400/3 5+2;2,38;0;0;20000002;EUR;22400;45,06302521;107,25;45,06278571
TRG;22;M2;9945750;TR.TRAK MG-101Y;0,0532;0;0;20000002;EUR;22400;186,0902256;9,9;186,0254083
TRG;22;M2;9945854;TRAK ZA OBLOGO VALJEV NGO;3;0;0;20000002;EUR;22400;23,76;71,28;23,76
TRG;22;M2;9912730;PVC FOLIJA (ÈRNA) TC.28;20;0;0;20000001;EUR;22410;10,78;215,6;0
TRG;22;KOS;9915394;SREDSTVO ZA ÈIŠÈENJE IN NEGOVANJE USNJA;1;75;0;19000002;EUR;22200;6,49929;6,4993;0
TRG;22;PCS;9925176;IBISOLEX 305 MM 2.50 COL.BEIGE;165;165;0;19000002;EUR;22200;4,89237;807,24163;0
TRG;22;M2;9931131;M-130/S(2801-3250);0,00004;4101793;0;19000002;EUR;22200;104,59688;0,00418;102,1525424
TRG;22;M2;9935826;TR.TRAK 3T18 U0-V0 / NA.73;0,00008;0;0;19000002;EUR;22200;80,35;0,00643;29,08307692
TRG;22;M2;9940171;TK. PES 55/40 BT - 230CM KONUS-S;115;85645;0;19000002;EUR;22200;0,546;62,79;0,546
TRG;22;KOS;9914393;ZOBATI JERMEN;3;69;0;19000001;EUR;22400;31,20492667;93,61478;439,8027275
TRG;22;M2;9910026;PUR FOLIJA S TKANINO DP 156;11,988;0;0;18000002;EUR;22200;11,004338;131,92;17
TRG;22;KOS;9915394;SREDSTVO ZA ÈIŠÈENJE IN NEGOVANJE USNJA;3;0;0;18000002;EUR;22200;6,496666667;19,49;0
TRG;22;M2;9931131;M-130/S(2801-3250);0,855;0;0;18000002;EUR;22200;51,356726;43,91;102,0884956
TRG;22;M2;9932031;M-130S KOFIL(374-400);0,63;0;0;18000002;EUR;22200;86,57142857;54,54;86,65083
TRG;22;KOS;9927126;KOFIL PAT-1201003;4;0;0;18000001;EUR;25410;21,6;86,4;0
IZD;22;KOS;9936704;CERMULTI 18 KERAMIÈNI NOŽ;1;0;0;17000002;EUR;161;12,29;12,29;12,29
TRG;22;M2;9922404;MONDIAL 88502 1,6-1,8MM ESPRESSO;3,67;33,67;0;17000001;EUR;22600;32,1;117,807;32,1
