ID_DOK;STM;TD;VEZA;KONTO
22008390;210;NK;;63000
22008197;210;NK;;63000
22008031;410;NK;;63000
22007647;210;NK;;63000
22007501;210;NK;;63000
22007454;410;NK;;63000
22006716;210;NK;;63000
22006629;410;NK;;63000
22006321;610;NK;;63000
22006276;210;NK;;63000
22005844;210;NK;;63000
22005841;210;NK;;63000
22005759;210;NK;;63000
22005646;410;NK;;63000
22005613;410;NK;;63000
22005389;210;NK;;63000
22005120;410;NK;;63000
22005026;210;NK;;63000
22004893;410;NK;;63000
22004802;210;NK;;63000
22004707;410;NK;;63000
22004595;410;NK;;63000
22004563;210;NK;;63000
22004450;210;NK;;63000
22004295;410;NK;;63000
22004046;210;NK;PR22300808          1;63000
22003955;210;NK;;63000
22003194;210;NK;;63000
22003178;410;NK;;63000
22003018;210;NK;;63000
22002982;210;NK;;63000
22002976;210;NK;;63000
22002975;210;NK;;63000
22002752;410;NK;;63000
22002541;210;NK;;63000
22002538;210;NK;;63000
22002271;210;NK;;63000
22002049;210;NK;;63000
22002047;210;NK;;63000
22002046;210;NK;;63000
22001839;410;NK;;63000
22001555;210;NK;;63000
22001465;210;NK;;63000
22001428;410;NK;;63000
22001259;610;NK;;63000
22001175;410;NK;;63000
22001121;410;NK;;63000
22000994;210;NK;;63000
22000993;210;NK;;63000
22000915;210;NK;;63000
22000855;210;NK;;63000
22000717;210;NK;;63000
22000685;410;NK;;63000
22000670;410;NK;;63000
22000587;210;NK;;63000
22000346;210;NK;;63000
22000282;210;NK;;63000
22000280;410;NK;;63000
22000102;210;NK;;63000
21010283;610;NK;;63000
21010234;210;NK;;63000
21010232;210;NK;;63000
21010231;210;NK;;63000
21010229;210;NK;;63000
21010188;210;NK;;63000
21010114;410;NK;;63000
21010076;210;NK;;63000
21010033;210;NK;;63000
21009937;210;NK;;63000
21009701;410;NK;;63000
21009651;210;NK;;63000
21009650;210;NK;;63000
21009562;210;NK;;63000
21009557;410;NK;;63000
21009454;210;NK;;63000
21009423;410;NK;;63000
21009194;210;NK;;63000
21009187;410;NK;;63000
21009026;210;NK;;63000
21008865;410;NK;;63000
21008848;210;NK;;63000
21008784;210;NK;;63000
21008775;210;NK;;63000
21008759;210;NK;;63000
21008730;410;NK;;63000
21008706;410;NK;;63000
21008702;210;NK;;63000
21008550;210;NK;PR21301515          1;63000
21008550;210;NK;;63000
21008236;210;NK;;63000
21008151;210;NK;;63000
21008097;610;NK;;63000
21007938;210;NK;;63000
21007724;210;NK;;63000
21007514;410;NK;;63000
21007323;210;NK;;63000
21007254;210;NK;;63000
21007253;210;NK;;63000
21007200;210;NK;;63000
21007094;410;NK;;63000
21007091;210;NK;PR21301275          2;63000
21007091;210;NK;;63000
