ID_DOK;STM;TD;VEZA;KONTO
10000017;300;NM;null;66000
10000021;300;NM;null;66000
10000016;310;NM;null;31000
10000002;410;NM;null;66000
10000005;410;NM;null;63000
10000006;410;NM;null;63000
10000004;410;NM;null;66000
10000003;410;NM;null;66000
10000009;310;NM;null;63000
10000006;410;NM;null;31000
10000001;400;NM;null;66000
4000072;210;NM;null;63000
10000007;410;NM;null;66000
4000059;210;NM;null;63000
8000010;410;NM;null;31030
7000006;210;NM;null;31000
22000060;410;NM;null;31020
8000009;410;NM;null;31030
7000011;410;NM;null;63000
8000004;410;NM;null;63000
8000004;410;NM;null;31020
8000004;410;NM;null;31030
8000010;410;NM;null;63000
10000034;410;NM;null;63000
8000010;410;NM;null;31020
8000009;410;NM;null;31020
8000009;410;NM;null;63000
22000058;410;NM;null;31020
10000030;210;NM;null;63000
10000028;210;NM;null;63000
20000061;410;NM;null;63000
4000077;210;NM;null;63000
4000085;210;NM;null;63000
4000079;210;NM;null;63000
12000006;410;NM;null;31030
20000044;210;NM;null;63000
7000011;410;NM;null;31020
4000045;210;NM;null;63000
4000064;210;NM;null;63000
10000023;210;NM;null;63000
19000018;210;NM;null;31000
20000052;410;NM;null;63000
19000022;210;NM;null;60000
13000012;610;NM;null;63000
4000065;210;NM;null;63000
10000029;210;NM;null;63000
4000049;210;NM;null;63000
12000006;410;NM;null;63000
7000011;410;NM;null;31030
20000047;410;NM;null;63000
19000043;210;NM;null;31000
20000033;210;NM;null;60000
7000010;210;NM;null;31000
19000025;210;NM;null;60000
19000029;210;NM;null;60000
19000024;210;NM;null;60000
4000071;210;NM;null;63000
4000073;210;NM;null;63000
4000046;210;NM;null;63000
8000004;410;NM;null;60000
8000010;410;NM;null;31000
22000075;210;NM;null;63000
7000011;410;NM;null;31000
4000060;210;NM;null;63000
6000010;410;NM;null;66000
10000001;400;NM;null;63000
6000006;410;NM;null;66000
6000003;210;NM;null;63000
4000084;210;NM;null;63000
8000009;410;NM;null;31000
6000011;410;NM;null;66000
8000004;410;NM;null;31000
4000075;210;NM;null;63000
4000078;210;NM;null;63000
8000007;210;NM;null;63000
21000052;210;NM;null;31000
21000047;210;NM;null;60000
21000060;220;NM;null;31020
22000010;210;NM;null;31000
21000061;210;NM;null;60000
21000044;210;NM;null;31000
20000067;210;NM;null;31000
20000060;210;NM;null;31000
20000070;210;NM;null;60000
21000036;210;NM;null;31000
21000004;210;NM;null;31000
22000059;410;NM;null;31000
22000057;210;NM;null;31000
22000062;300;NM;null;63000
22000070;210;NM;null;63000
22000063;210;NM;null;63000
22000050;710;NM;null;63000
22000023;210;NM;null;60000
22000017;210;NM;null;31000
22000034;210;NM;null;31000
22000045;210;NM;null;31000
22000041;210;NM;null;63000
20000056;410;NM;null;63000
19000008;210;NM;null;60000
18000001;210;NM;null;63000
19000016;210;NM;null;31000
19000030;210;NM;null;60000
19000030;210;NM;null;63000
13000012;610;NM;null;66000
10000009;310;NM;null;31020
10000005;410;NM;null;31000
12000001;410;NM;null;63000
12000007;410;NM;null;63000
12000003;210;NM;null;
20000037;210;NM;null;60000
20000028;210;NM;null;60000
20000042;210;NM;null;63000
20000046;410;NM;null;63000
20000045;400;NM;null;63000
19000055;210;NM;null;31000
19000049;210;NM;null;31000
19000036;210;NM;null;31000
19000050;210;NM;null;31000
19000053;210;NM;null;31000
19000052;210;NM;null;31000
