ID_DOK;IDENT;NAZIV;EM;KOLICINA;ZELENA_KOL;PORABA;CENA;A_CENA;VREDNOST;DAVEK_PROC;SKLADIŠČE;VRSTAMAT;TIP_CENE;DEVIZA
22000075;9947275;FNA 0021 60;M2;0;0;0;0;0;0;22;022230;IZD;PC;EUR
22000070;9947350;FNA 10012 107;M2;700;0;693;0;0;0;22;022230;IZD;PC;EUR
22000063;9948091;FNA 10713 70;M2;4000;0;0;0;0;0;22;022230;IZD;PC;EUR
22000062;9939398;PE-130 K 2,3 X 150;M2;1300;0;0;0;0;0;22;022300;IZD;PC;EUR
22000060;9946457;FILTER FIL 4650 TC 300 GR/M2 ORV  21 rol;M2;880;0;880;0;0;0;22;024410;POM;PC;EUR
22000060;9946457;FILTER FIL 4650 TC 180 GR/M2 ORV 25 rol;M2;1000;0;1000;0;0;0;22;024410;POM;PC;EUR
22000060;9945388;SANFILTER F 5/100  2000 MM        1 rol;M2;200;0;0;0;0;0;22;024410;POM;PC;EUR
22000060;9946647;FILTER FIL 4490 200 GR/M2  ORV   modra;M2;80;0;80;0;0;0;22;024410;POM;PC;EUR
22000060;9946457;FILTER FIL 4650 TC 180 GR/M2 ORV;M2;240;0;0;0;0;0;22;024410;POM;PC;EUR
22000059;9947267;TR.TRAK T-E 40/30 -NE UPORABLJAJ! 10000*;M2;22,575;0;0;0;0;0;22;022410;MAT;PC;EUR
22000058;9946456;FILTER FIL 4112 GC 100 GR/M2 ORV  6  rol;M2;480;0;160;0;0;0;22;024410;POM;PC;EUR
22000058;9946457;FILTER FIL 4650 TC 180 GR/M2 ORV  14 rol;M2;560;0;560;0;0;0;22;024410;POM;PC;EUR
22000058;9946457;FILTER FIL 4650 TC 300 GR/M2 ORV  10 ro;M2;400;0;400;0;0;0;22;024410;POM;PC;EUR
22000058;9946293;FILTER FIL SP 2358 A 140 MTK GR/M2  ORV;M2;480;0;480;0;0;0;22;024410;POM;PC;EUR
22000057;9924120;VL.PES 17/64 EKU NOVALFA;KG;1120;0;840;0;0;0;22;022230;MAT;PC;EUR
22000050;9923607;NOVBELT 250 NA SL BLACK;M2;340;0;0;0;0;0;22;022710;IZD;PC;EUR
22000045;9940012;VL.PES 6,7/64 RECYCLED WHITE FLEXX;KG;2632;0;2631;0;0;0;22;022210;MAT;PC;EUR
22000041;9947689;FNA 0710 300;M2;9030;0;8610;0;0;0;22;022230;IZD;PC;EUR
22000034;9940012;VL.PES 6,7/64 RECYCLED WHITE FLEXX;KG;3200;0;0;0;0;0;22;022210;MAT;PC;EUR
22000023;9944551;FLIS/N 0110 390/227;M2;2400;0;1203,1;0;0;0;22;022210;POL;PC;EUR
22000017;9926334;VL.PES 6,7/64 WHITE GREENFIBER;KG;6900;0;0;0;0;0;22;022210;MAT;PC;EUR
22000010;9936488;VL.PES 1,7/38 DULL CRIMP.VS WHI MOG 2/15;KG;2950;0;1940;0;0;0;22;022210;MAT;PC;EUR
21000061;9947213;FLIS/K 6410 270/230;M2;4500;0;0;0;0;0;22;022230;POL;PC;EUR
21000060;9924622;BARVA MINERPRINT BLUE B HC;KG;1;0;0;0;0;0;22;022220;POM;PC;EUR
21000052;9944853;VL.META ARAMID 2,2/51 HA TEIJINCONEX JAP;KG;3500;0;3220;0;0;0;22;022210;MAT;PC;EUR
21000047;9946788;FLIS/F 0810 190/245;M2;4000;0;0;0;0;0;22;022230;POL;PC;EUR
21000044;9936488;VL.PES 1,7/38 DULL CRIMP.VS WHI MOG 2/15;KG;9400;0;0;0;0;0;22;022210;MAT;PC;EUR
21000036;9904916;VL.PP 3,9/60 BAP TREVOS;KG;600;0;598,6253;1,10761;0;664,57;22;022210;MAT;PC;EUR
21000004;9908747;VL.PES BIK. 4/51 LMF WHITE HUVIS/950A/SD;KG;1200;0;1120;1,35401;0;1624,81;22;022210;MAT;PC;EUR
20000070;9944436;FLIS/K 5210 170/238;M2;1190;0;0;0;0;0;22;022210;POL;PC;EUR
20000067;9908747;VL.PES BIK. 4/51 LMF WHITE HUVIS/950A/SD;KG;550;0;0;1,35401;0;744,71;22;022210;MAT;PC;EUR
20000061;440661;FILTER F-5/100;M2;1200;0;1200;0;0;0;22;024410;IZD;PC;EUR
20000061;439789;FILTER F-10/150;M2;2400;0;2400;0;0;0;22;024410;IZD;PC;EUR
20000061;440629;FILTER FF-10/250 K;M2;600;0;600;0;0;0;22;024410;IZD;PC;EUR
20000060;9908747;VL.PES BIK. 4/51 LMF WHITE HUVIS/950A/SD;KG;2400;0;2240;1,35401;0;3249,624;22;022210;MAT;PC;EUR
20000056;9940406;FILTER F-15/200 Z N/KOFIL;M2;800;0;0;0;0;0;22;024410;IZD;PC;EUR
20000052;9940405;FILTER F-5/100 N/KOFIL;M2;2400;0;0;0;0;0;22;024410;IZD;PC;EUR
20000052;9940418;FILTER F-10/150 N/KOFIL;M2;800;0;0;0;0;0;22;024410;IZD;PC;EUR
20000047;9940406;FILTER F-15/200 Z N/KOFIL;M2;2320;0;0;0;0;0;22;024410;IZD;PC;EUR
20000047;9940418;FILTER F-10/150 N/KOFIL;M2;1600;0;0;0;0;0;22;024410;IZD;PC;EUR
20000046;439789;FILTER F-10/150;M2;1600;0;0;0;0;0;22;024410;IZD;PC;EUR
20000045;9944285;DESORTIRAN FLIS FNA DO 150 G/M2;KG;32;0;0;0;0;0;22;022400;IZD;PC;EUR
20000044;440661;FILTER F-5/100;M2;1200;0;0;0;0;0;22;024410;IZD;PC;EUR
20000044;9924999;FILTER F-07/260 K;M2;640;0;0;0;0;0;22;024410;IZD;PC;EUR
20000044;439789;FILTER F-10/150;M2;800;0;0;0;0;0;22;024410;IZD;PC;EUR
20000042;440629;FILTER FF-10/250 K;M2;600;0;0;0;0;0;22;024410;IZD;PC;EUR
20000037;9945513;FLIS/F T7 (1101)25 550/215;M2;5250;0;0;0;0;0;22;022210;POL;PC;EUR
20000033;9944861;FLIS/K 5510 120/225;M2;1500;0;1339,5;0;0;0;22;022230;POL;PC;EUR
20000033;9944437;FLIS/K 5210 190/225;M2;2250;0;2250;0;0;0;22;022230;POL;PC;EUR
20000028;9944255;FLIS/F 0110 120/245;M2;1250;0;0;0;0;0;22;022210;POL;PC;EUR
19000055;9944401;VL.CEL 3,3/60 T:14FR WHITE SUBST. CETEX;KG;550;0;513,53;0;0;0;22;022230;MAT;PC;EUR
19000053;9940012;VL.PES 6,7/64 RECYCLED WHITE FLEXX;KG;300;0;298;0;0;0;22;022210;MAT;PC;EUR
19000052;9912595;VL.PP 1,7/40 TREVON TREVOS;KG;500;0;467;0;0;0;22;022210;MAT;PC;EUR
19000050;9940012;VL.PES 6,7/64 RECYCLED WHITE FLEXX;KG;2000;0;1140,08149;0;0;0;22;022210;MAT;PC;EUR
19000049;9944401;VL.CEL 3,3/60 T:14FR WHITE SUBST. CETEX;KG;440;0;439;0;0;0;22;022230;MAT;PC;EUR
