ID_DOK;STM;Type;VEZA;KONTO
5000211;210;NC;NK05010671;63000
16000088;610;NC;NK16007954;63000
6000038;210;NC;NK06007344;63000
22000066;610;NC;NK22006321;63000
4000041;210;NC;NK04002554;63000
19000115;610;NC;NK19007733;63000
7000019;210;NC;NK06013416;63000
14000075;410;NC;NK14008036;63000
5000193;410;NC;NK05011751;63000
14000078;410;NC;NK14008036;63000
5000195;410;NC;NK05011799;63000
5000033;410;NC;NK05003859;66000
5000169;410;NC;NK05011277;63000
15000032;410;NC;NK15002060;63000
6000037;210;NC;NK06006431;63000
8000003;210;NC;NK07013173;63000
5000033;410;NC;NK05003859;63000
4000105;210;NC;NK04009054;63000
5000037;410;NC;NK05004386;63000
5000074;410;NC;NK05006968;63000
15000157;410;NC;NK15009444;63000
5000071;410;NC;NK05006510;63000
5000009;610;NC;NK05000782;63000
21000079;410;NC;NK21005364;63000
8000008;210;NC;NK07013180;63000
5000171;410;NC;NK05011289;63000
20000030;410;NC;NK20003611;63000
6000020;210;NC;NK06002675;63000
4000003;210;NC;NK03013553;63000
8000039;210;NC;NK08009674;63000
6000032;210;NC;NK06007393;63000
5000069;200;NC;NK05005026;66000
13000017;410;NC;NK13001524;63000
17000017;410;NC;NK17001100;63000
5000172;410;NC;NK05011291;63000
4000002;210;NC;NK03013707;63000
16000061;410;NC;NK16005343;63000
15000089;610;NC;NK15006284;63000
15000088;610;NC;NK15006289;63000
12000045;410;NC;NK12005883;63000
13000074;410;NC;NK13006442;63000
8000039;210;NC;;63000
14000022;410;NC;NK14001906;63000
8000005;210;NC;NK08000876;63000
6000003;200;NC;NK06001249;66000
12000055;410;NC;NK12007221;63000
7000006;200;NC;NK07001283;66000
6000031;210;NC;NK06007212;63000
20000017;610;NC;NK20002004;63000
12000029;210;NC;NK12002961;63000
5000029;210;NC;NK05002149;63000
15000055;410;NC;NK15003871;63000
12000073;410;NC;NK12008939;63000
6000038;210;NC;;63000
5000184;410;NC;;
13000065;200;NC;NK13006172;66000
13000037;210;NC;NK13003296;63000
13000024;200;NC;NK13002250;66000
6000020;210;NC;;63000
13000040;210;NC;NK13003504;63000
6000003;200;NC;;66000
5000179;410;NC;NK05011525;63000
15000085;610;NC;;
15000052;610;NC;NK15003972;63000
14000077;210;NC;NK14005078;63000
8000019;310;NC;;63000
4000107;610;NC;NK04011651;63000
15000086;610;NC;;
14000007;200;NC;NK14000449;66000
13000115;410;NC;;
5000176;410;NC;NK05011448;63000
14000028;200;NC;NK14002241;66000
5000094;410;NC;;
5000115;410;NC;NK05009632;63000
8000039;210;NC;NK08009674;31000
9000013;200;NC;NK09006043;66000
9000014;310;NC;;
8000019;310;NC;NK08002069;63000
8000012;210;NC;;
8000017;210;NC;;63000
8000017;210;NC;NK08004622;31000
9000029;310;NC;NK09004703;63000
11000073;200;NC;NK11010146;66000
12000009;200;NC;NK12001613;66000
12000014;200;NC;NK12002238;66000
11000065;210;NC;NK11009786;63000
10000027;310;NC;NK10006426;63000
11000052;200;NC;NK11007900;66000
11000058;200;NC;NK11009082;66000
12000074;210;NC;NK12006807;63000
7000022;210;NC;NK07005625;63000
7000029;210;NC;NK07007144;63000
6000041;210;NC;NK06011071;63000
6000037;210;NC;;63000
13000018;210;NC;NK13001946;63000
12000086;200;NC;NK12010125;66000
7000033;210;NC;NK07008159;63000
8000008;210;NC;;63000
12000058;200;NC;NK12007498;66000
8000009;210;NC;NK08000923;63000
8000003;210;NC;;63000
7000039;210;NC;NK07011487;63000
7000043;210;NC;NK07012218;63000
7000050;210;NC;NK07012263;63000
