ID_DOK;STM;TD;DN1;KONTO;Število
22000719;210;ZA;DN22008600;31020;4
22000718;210;ZA;DN22008600;31020;3
22000717;710;ZA;DN22009006;63000;2
22000716;210;ZA;DN22008600;31020;4
22000715;610;ZA;DN22006174;63000;51
22000714;210;ZA;DN22008600;31020;4
22000713;210;ZA;DN22008600;31020;3
22000712;210;ZA;DN22008600;31020;2
22000711;210;ZA;DN22008876;31030;8
22000710;210;ZA;DN22007334;63000;1
22000709;210;ZA;DN22008078;63000;1
22000708;710;ZA;DN22008653;60000;1
22000707;710;ZA;DN22008654;60000;2
22000706;210;ZA;DN22007866;63000;4
22000705;710;ZA;DN22008919;31000;1
22000704;710;ZA;DN22003507;63000;1
22000703;710;ZA;DN22001778;31000;1
22000702;210;ZA;DN22008600;31020;5
22000701;710;ZA;DN22007847;31000;2
22000700;710;ZA;DN22001778;31030;12
22000700;710;ZA;DN22001778;31020;6
22000700;710;ZA;DN22001778;31000;3
22000699;710;ZA;DN22007774;31000;5
22000698;710;ZA;DN22001777;31020;17
22000698;710;ZA;DN22001777;31000;2
22000698;710;ZA;DN22001777;31030;2
22000697;210;ZA;DN22001315;31000;12
22000697;210;ZA;DN22001315;31020;4
22000697;210;ZA;DN22001315;31030;14
22000696;210;ZA;DN22007866;31030;2
22000696;210;ZA;DN22007866;31020;2
22000696;210;ZA;DN22007866;31000;3
22000695;610;ZA;DN22006174;31030;1
22000694;210;ZA;DN22008600;31020;7
22000693;210;ZA;DN22008600;31020;2
22000692;210;ZA;DN22007676;31020;10
22000691;410;ZA;DN22008525;60000;4
22000690;210;ZA;DN22008525;60000;4
22000689;210;ZA;DN22008755;63000;1
22000688;710;ZA;DN22006729;63000;4
22000687;210;ZA;DN22007104;31000;1
22000686;710;ZA;DN22006850;31000;1
22000685;210;ZA;DN22008600;31020;9
22000684;710;ZA;DN19001274;63000;2
22000683;610;ZA;DN22006174;31000;2
22000682;210;ZA;DN22008600;31020;4
22000681;210;ZA;DN22008654;31030;1
22000680;210;ZA;DN22008600;31020;7
22000679;210;ZA;DN20008867;63000;1
22000678;210;ZA;DN22008486;63000;1
22000677;210;ZA;DN22007676;31020;2
22000676;210;ZA;DN22007676;31030;17
22000675;210;ZA;DN22007676;31030;15
22000675;210;ZA;DN22007676;31020;1
22000674;210;ZA;DN22007368;63000;5
22000673;610;ZA;DN22006174;31030;2
22000672;210;ZA;DN22007676;31020;9
22000671;210;ZA;DN22008503;31000;5
22000671;210;ZA;DN22008503;31020;2
22000671;210;ZA;DN22008503;31030;1
22000670;210;ZA;DN22007676;31020;7
22000669;210;ZA;DN22007676;31020;17
22000669;210;ZA;DN22007676;31030;1
22000669;210;ZA;DN22007676;31000;2
22000668;210;ZA;DN22007676;31020;5
22000667;210;ZA;DN22006550;31020;3
22000666;210;ZA;DN22007676;31020;7
22000666;210;ZA;DN22007676;31000;2
22000665;710;ZA;DN22008497;63000;2
22000664;210;ZA;DN22005429;31000;1
22000664;210;ZA;DN22005429;31030;1
22000663;210;ZA;DN22007676;31020;5
22000662;410;ZA;DN22008355;31000;2
22000662;410;ZA;DN22008355;66000;2
22000661;210;ZA;DN22007676;31020;6
22000661;210;ZA;DN22007676;63000;1
22000660;210;ZA;DN22007805;63000;1
22000659;210;ZA;DN22004490;63000;1
22000658;210;ZA;DN22007676;31020;5
22000657;210;ZA;DN22007676;31020;5
22000656;610;ZA;DN22006174;31030;19
22000656;610;ZA;DN22006174;31020;2
22000656;610;ZA;DN22006174;31000;44
22000655;210;ZA;DN22007676;31000;1
22000654;210;ZA;DN22008055;31030;5
22000653;210;ZA;DN22007104;63000;1
22000652;210;ZA;DN22007676;31020;4
22000651;210;ZA;DN22006945;63000;1
22000650;610;ZA;DN22006174;31000;1
22000649;210;ZA;DN22007676;31020;3
22000648;210;ZA;DN22007676;31020;4
22000647;210;ZA;DN22007967;63000;1
22000646;210;ZA;DN22007150;63000;2
22000645;210;ZA;DN22007676;31020;1
22000644;210;ZA;DN22005050;63000;4
22000643;210;ZA;DN22006587;63000;1
22000642;210;ZA;DN22007676;31020;2
22000641;410;ZA;DN22008081;31000;1
22000640;210;ZA;DN22006587;63000;1
22000639;710;ZA;DN22007731;63000;2
22000638;210;ZA;DN22007676;31020;4
22000637;710;ZA;DN22008047;63000;1
22000636;410;ZA;DN22007097;63000;1
22000636;410;ZA;DN22007097;31000;2
22000635;710;ZA;DN22008047;63000;2
22000634;210;ZA;DN22007604;63000;1
22000633;210;ZA;DN22007676;31020;7
22000632;610;ZA;DN22006174;31000;1
22000631;210;ZA;DN22007604;63000;2
22000630;210;ZA;DN22007676;31020;2
22000630;210;ZA;DN22007676;31000;1
22000629;710;ZA;DN22006467;60000;1
22000628;210;ZA;DN22003126;63000;1
22000627;710;ZA;DN22006183;60000;1
22000626;710;ZA;DN22006729;60000;1
22000625;710;ZA;DN22006622;60000;2
22000624;710;ZA;DN22004398;60000;1
22000623;710;ZA;DN22002667;60000;1
22000622;710;ZA;DN22006624;60000;1
22000621;710;ZA;DN22006946;31000;1
22000620;710;ZA;DN22006919;31000;1
