VRSTAMAT;DAVEK_PROC;EM;IDENT;NAZIV;KOLICINA;PORABA;ZELENA_KOL;ID_DOK;TIP_CENE;SKLADIŠČE;CENA;VREDNOST;A_CENA
POM;22;KG;9937518;VULKACIT ZDEC/OCTOCURE ZDE-100 TRCC,20KG;20;20;0;22000719;EUR;22210;4,8;96;0
POM;22;KG;9946355;ZNO (GOLD SEAL) PRAH - ADR!, 25KG;300;300;0;22000719;EUR;22210;3,9;1170;0
POM;22;KG;9938118;ŽVEPLO, 25KG ADR-UN1350!;25;25;0;22000719;EUR;22210;1,11;27,75;0
POM;22;KG;1044893;TAMOL NN 9104 - 25KG;25;25;0;22000719;EUR;22210;5,11;127,75;0
POM;22;KG;1001140;AMONIJAK 25%, 50KG;100;100;0;22000718;EUR;22210;1,205;120,5;0
POM;22;KG;9939500;SOPROPHOR TS10, 200KG;200;200;0;22000718;EUR;22210;8,2;1640;0
POM;22;KG;9936758;KALCIJEV KARBONAT 2 OMYA, 20KG;1200;1200;0;22000718;EUR;22210;0,1399;167,88;0
IZD;22;LM;9933901;CENTELIN 50/1/S 150 CM BEL;50;50;0;22000717;EUR;22710;0;0;0
IZD;22;LM;9934042;CENTELIN 50/S 150 CM;50;50;0;22000717;EUR;22710;0;0;0
POM;22;KG;9945707;BARVA MICRONIL YELLOW KM MINERVA;150;150;0;22000716;EUR;22220;4;600;0
POM;22;KG;9935684;BARVA MINERPRINT YELLOW 2GI MINERV;30;30;0;22000716;EUR;22220;6,65;199,5;0
POM;22;KG;9935677;BARVA MINERPRINT ORANGE OLI EC;60;60;0;22000716;EUR;22220;7,82;469,2;0
POM;22;KG;9938732;BARVA MINERPRINT GREEN B;150;150;0;22000716;EUR;22220;8,55;1282,5;0
IZD;22;KOS;8101847;JAGER GOBA ZA POSODO 3/1;108;108;0;22000715;EUR;22610;0;0;0
IZD;22;KOS;8102290;JAGER KRPA ZA TLA;20;20;0;22000715;EUR;22610;0;0;0
IZD;22;KOS;8152407;JAGER SET ZA DOM;45;45;0;22000715;EUR;22610;0;0;0
IZD;22;KOS;8100731;UNIVERSAL 3/1 / VEČNAMENSKA PROFI;10;10;0;22000715;EUR;22610;0;0;0
IZD;22;KOS;9908982;AQUA ANTIBACTERIAL 3/1;10;10;0;22000715;EUR;22610;0;0;0
IZD;22;KOS;9902845;FLOOR ORANGE 1/1;10;10;0;22000715;EUR;22610;0;0;0
IZD;22;KOS;8800372;SPONG-I 3/1 / GOBASTA;30;30;0;22000715;EUR;22610;0,40895;12,27;0
IZD;22;KOS;8800373;SPONG-I 5/1 / GOBASTA;20;20;0;22000715;EUR;22610;0,52579;10,52;0
